district_name,group_id,group_name
WODI,4046,OIL MILL
EGBOHOM,4047,RUMUODANI
ELIMINIGWE2,4047,RUMUODANI
ELIMINIGWE3,4047,RUMUODANI
RUMUEHELEZE1,4047,RUMUODANI
RUMUODANI 1,4047,RUMUODANI
RUMUODANI 3,4047,RUMUODANI
RUMUODANI2,4047,RUMUODANI
SAMANGA,4047,RUMUODANI
ELIJIJI-1,4048,RUMUROLU
ILOM,4048,RUMUROLU
LAYOUT,4048,RUMUROLU
RUMUROLU,4048,RUMUROLU
NEW LAYOUT,4049,WOJI TOWN
OGBATAI 1,4049,WOJI TOWN
OGBATAI 2,4049,WOJI TOWN
POST OFFICE,4049,WOJI TOWN
WOJI TOWN,4049,WOJI TOWN
ESTATE 3 DISTRICT.,4050,ESTATE
ESTATE JUNCTION,4050,ESTATE
ESTATE1 DISTRICT,4050,ESTATE
PEACE ESTATE,4050,ESTATE
